,city,district,front,size,property_age,bedrooms,bathrooms,livingrooms,kitchen,garage,driver_room,maid_room,furnished,ac,roof,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price,details
2842, الخبر,   حي الكورنيش ,جنوب,300,13,6,5,2,1,1,1,1,0,1,0,0,1,0,1,1,0,0,90000,"فيلا فاخرة في حي كورنيش الخبر. أفضل حي بالخبر.

مكونات الفيلا:
الدور الأرض: صالة بدورة مياه و مجلس بدوره مياه و غرفة طعام و مطبخين و غرفة خادمة بدورة مياه.
الدور الثاني: ٥ غرف نوم و صالة و مطبخ.
الدور الثالث: جناح بدورة مياه و بلكونة.


الايجار السكن..."
2236, الدمام,   حي طيبة ,شمال غربي,450,4,7,5,2,1,1,0,1,0,0,1,0,1,0,0,1,0,1,55000,"للاجار بيت في حي طيبه زاويه

مكون من 
الدور الاخير / غزفه + دورة مياه + غرفة غسيل 
الدور العلوي الاول/
٥ غرف نوم منهم واحدة ماستر + صالة
والدور الارضي مجلس ومقلط وصالة كبيره وغرفه جلوس نساء ومطبخين ومستودع 



❇️ في حالة عدم الرد او الهاتف مغلق 
يسعد..."
3115, الخبر,   حي التحلية ,جنوب,300,0,5,5,3,1,1,0,1,0,0,0,0,1,0,1,0,0,0,75000,"للايجار دوبلكس متصل بناء شخصي بحي التحلية بالخبر 

الدور الارضي مجلس رجال وغرفة طعام وصاله ومجلس نساء ودورتين مياه والمطبخ تفصيل ان شاء الله خلال أيام يكون جاهز 

الدور الاول ٤ غرف نوم ٢ منهم ماستر وغرفتين يخدمهم دورة مياه مع الصاله 

الملحق غرفة ودو..."
1162, جدة,   حي الصفا ,شمال غربي,892,28,7,5,2,1,1,1,1,1,1,1,0,1,0,0,1,0,0,170000,"مبني بمواصفات ارامكو بتكيف مركزي كرير وعوازل للحراره والصوت للجدار الخارجي  وجبس مغربي 
متوفر جميع شروط الامن والسلامه للدفاع المدني"
3099, الخبر,   حي مدينة العمال ,جنوب شرقي,348,30,5,5,3,1,0,0,1,0,0,0,0,1,0,0,1,0,0,65000,"فيلا زواية على شارعين ومرممه بالكامل 
قريبة من نادي القادسية 

مقاسات الغرف والصالات :- 

الدور الارضي
الصالة 5.2 * 6 
مقلط النساء  4.3 * 5.9
المطبخ 4* 4.3
المخزن 3.2 * 2.3 

الدور الاول 
الصالة 6 * 6.5 
غرفة ماستر 1 5.4 * 5.6 غرفة دولاب 2.15 * 4.3
غ..."
1753, جدة,   حي البساتين ,جنوب,350,10,4,4,2,0,1,1,1,0,1,1,0,1,0,1,0,0,0,90000,"فيلا في حي البساتين دوبلكس
مكونه من اربعه غرف نوم ووحده منهم ماستر 
مجلسين رجال وحريم بس الحمامات وصاله ومطبخ 
موقف سيارة غرفه حارس 
ملحق غرفه خادمه غرفه غسيل بداخل الحمام وسطح،،"
3679, الخبر,   حي الامواج ,غرب,437,0,7,5,2,0,1,0,1,0,0,1,0,1,0,1,1,0,1,60000,"للأيجار ڤيلا دورين و ملحق في حي الأصداف

المساحة:437 متر 

الدور الأرضي :
ديوانية خارجية - دورة مياة - مجلس - غرفة طعام رجال - مجلس نساء - مطبخ 

الدور الأول :
عدد 5 غرف نوم (3 غرف ماستر)

الدور الثاني:
غرفتين - غرفة غسيل - دورة مياة

للتواصل : 

050..."
2915, الخبر,   حي اللؤلؤ ,غرب,437,0,7,5,2,1,1,0,1,0,0,1,0,1,0,1,1,0,1,60000,"للإيجار فيلا دورين وملحق في حي الأصداف

المساحة : ٤٣٧ متر 

الدور الأرضي : 
ديوانية خارجية - دورة مياة - مجلس - غرفة طعام رجال - مجلس نساء - مطبخ 

الدور الأول : 
عدد ٥ غرف نوم ( ٣ غرف منها ماستر )

الدور الثاني :
 غرفتين - غرفة غسيل - دورة مياة

للت..."
268, الرياض,   حي العليا ,شمال شرقي,230,0,5,5,2,1,1,0,1,0,1,0,1,0,0,1,1,0,0,120000,"فيلا للايجار مفروشة العليا الثلاثين مودرن بناء جديد مستخدمة تشطيبات راقية جاكوزي و ٣ غرف نوم ماستر و غرفة ماستر بالسطخ و غرفة اضافية تكييف مركزي و مسبح للاطفال صغيرررر و مدخل سيارة 
للتواصل مع ميرال اتصال وواتساب  ٠٥٥٢٦٠٠٩٤٣"
3622, الخبر,   حي الامواج ,غرب,437,0,7,5,2,0,1,0,1,0,0,1,0,1,0,1,1,0,1,60000,"للأيجار ڤيلا دورين و ملحق في حي الأصداف

المساحة:437 متر 

الدور الأرضي :
ديوانية خارجية - دورة مياة - مجلس - غرفة طعام رجال - مجلس نساء - مطبخ 

الدور الأول :
عدد 5 غرف نوم (3 غرف ماستر)

الدور الثاني:
غرفتين - غرفة غسيل - دورة مياة

للتواصل : 

050..."
