,city,district,front,size,property_age,bedrooms,bathrooms,livingrooms,kitchen,garage,driver_room,maid_room,furnished,ac,roof,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price,Rent Frequnecy,Accommodation Types
0, الرياض,   حي الجنادرية ,شرق,246,0,5,5,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,40000,Unkown,Unkown
1, جدة,   حي بريمان ,جنوب,350,0,7,5,2,1,1,0,1,0,0,1,0,0,0,1,1,1,0,45000,Unkown,house
2, الرياض,   حي الرمال ,جنوب,280,3,4,3,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,39600,Monthly,floor
3, الدمام,   حي ضاحية الملك فهد ,شمال,250,5,5,5,3,1,1,0,1,0,1,1,0,1,0,0,1,0,0,36000,Unkown,house
4, الرياض,   حي الروضة ,جنوب,352,30,7,5,2,1,1,0,1,0,1,1,0,1,0,0,1,0,1,80000,Unkown,house
5, الرياض,   حي الروضة ,شرق,900,15,4,4,2,1,1,1,1,0,1,1,0,1,0,0,1,0,1,150000,Unkown,house
6, الرياض,   حي المصيف ,غرب,500,10,5,5,5,1,1,1,1,0,1,1,0,1,1,0,1,1,0,150000,Unkown,house
7, جدة,   حي البساتين ,شرق,300,7,3,4,3,1,1,1,1,1,1,1,1,1,0,1,1,0,0,115000,Unkown,house
8, الدمام,   حي الشعلة ,غرب,345,4,5,5,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,60000,Unkown,house
9, الخبر,   حي المدينة الرياضية ,جنوب غربي,200,7,5,4,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,43000,Unkown,apartment
10, جدة,   حي الشاطئ ,شمال,300,0,5,5,2,1,1,1,1,1,1,1,1,1,0,1,1,0,0,250000,Unkown,Unkown
11, الخبر,   حي مدينة العمال ,جنوب شرقي,348,30,5,5,3,1,0,0,1,0,0,0,0,1,0,0,1,0,0,65000,Unkown,house
12, جدة,   حي الزهراء ,جنوب,380,5,4,4,4,1,1,1,1,0,1,1,0,1,0,1,1,0,1,185000,Unkown,house
13, الخبر,   حي الصواري ,شمال,312,0,5,5,3,0,0,0,0,0,0,1,0,1,0,1,1,0,0,45000,Unkown,house
14, الدمام,   حي السيف ,غرب,300,11,6,5,2,1,1,1,1,0,1,1,0,1,0,1,1,0,0,75000,Unkown,house
15, الخبر,   حي الكورنيش ,جنوب,300,13,6,5,2,1,1,1,1,0,1,0,0,1,0,1,1,0,0,90000,Unkown,house
16, الدمام,   حي طيبة ,شمال غربي,450,4,7,5,2,1,1,0,1,0,0,1,0,1,0,0,1,0,1,55000,Unkown,floor
17, الخبر,   حي التحلية ,جنوب,300,0,5,5,3,1,1,0,1,0,0,0,0,1,0,1,0,0,0,75000,Unkown,house
18, جدة,   حي الصفا ,شمال غربي,892,28,7,5,2,1,1,1,1,1,1,1,0,1,0,0,1,0,0,170000,Unkown,Unkown
19, الخبر,   حي مدينة العمال ,جنوب شرقي,348,30,5,5,3,1,0,0,1,0,0,0,0,1,0,0,1,0,0,65000,Unkown,house
20, جدة,   حي البساتين ,جنوب,350,10,4,4,2,0,1,1,1,0,1,1,0,1,0,1,0,0,0,90000,Unkown,house
21, الخبر,   حي الامواج ,غرب,437,0,7,5,2,0,1,0,1,0,0,1,0,1,0,1,1,0,1,60000,Unkown,house
22, الخبر,   حي اللؤلؤ ,غرب,437,0,7,5,2,1,1,0,1,0,0,1,0,1,0,1,1,0,1,60000,Unkown,house
23, الرياض,   حي العليا ,شمال شرقي,230,0,5,5,2,1,1,0,1,0,1,0,1,0,0,1,1,0,0,120000,Unkown,house
24, الخبر,   حي الامواج ,غرب,437,0,7,5,2,0,1,0,1,0,0,1,0,1,0,1,1,0,1,60000,Unkown,house
25, جدة,   حي الشاطئ ,شمال شرقي,300,2,3,4,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,150000,Monthly,house
26, جدة,   حي الياقوت ,شرق,280,0,5,5,3,1,1,1,0,0,0,1,1,1,0,1,1,0,0,50000,Unkown,house
27, جدة,   حي الزهراء ,شمال,400,8,6,5,3,1,1,1,1,0,1,1,1,1,1,1,1,0,0,160000,Unkown,house
28, الخبر,   حي التحلية ,شرق,330,0,4,5,4,1,1,1,1,0,1,1,0,1,0,0,0,0,0,80000,Unkown,house
29, الرياض,   حي المونسية ,جنوب,530,7,7,4,2,0,1,1,1,0,0,1,0,1,0,0,0,0,1,45000,Unkown,Unkown
30, الدمام,   حي المدينة الصناعية الثانية ,جنوب,355,0,7,5,2,1,1,0,1,0,1,1,0,1,0,1,1,0,0,65000,Unkown,Unkown
31, الخبر,   حي البحيرة ,غرب,375,0,4,4,2,1,1,0,0,0,1,0,1,1,0,1,1,0,0,80000,Unkown,house
32, الرياض,   حي بدر ,جنوب غربي,270,0,4,5,2,1,1,0,1,0,0,0,0,1,0,0,1,0,0,35000,Unkown,house
33, الدمام,   حي الاثير ,شرق,205,0,3,2,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,60000,Unkown,house
34, الدمام,   حي الاثير ,شرق,205,0,3,2,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,60000,Unkown,house
35, الخبر,   حي البحيرة ,غرب,375,0,4,4,2,1,1,0,0,0,1,0,1,1,0,1,1,0,0,80000,Unkown,house
36, الرياض,   حي العارض ,شمال,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000,Unkown,house
37, الخبر,   حي التحلية ,شمال شرقي,625,0,7,5,2,0,1,1,1,0,0,0,0,1,0,0,1,0,0,90000,Unkown,house
38, الدمام,   حي الخالدية الشمالية ,شرق,400,5,7,5,2,1,1,1,1,0,1,1,0,1,0,0,1,0,1,70000,Unkown,house
39, الدمام,   حي المنار ,شمال,350,0,7,5,3,1,1,1,1,0,0,0,0,1,0,0,1,0,0,100000,Unkown,house
40, الخبر,   حي الحزام الاخضر ,جنوب,400,4,4,5,2,1,1,1,1,0,1,1,0,0,0,1,1,0,0,140000,Unkown,floor
41, الخبر,   حي الحزام الاخضر ,جنوب,400,4,4,5,2,1,1,1,1,0,1,1,0,0,0,1,1,0,0,140000,Unkown,floor
42, الرياض,   حي القيروان ,شرق,500,0,5,4,2,1,1,0,1,0,0,0,0,1,0,0,1,0,0,35000,Unkown,house
43, جدة,   حي الرياض ,جنوب,492,5,5,5,4,1,1,1,1,1,1,1,1,1,0,0,1,0,0,55000,Unkown,Unkown
44, الرياض,   حي القادسية ,شمال شرقي,350,0,4,4,2,1,1,1,1,0,0,1,0,1,0,0,1,0,1,50000,Unkown,house
45, الخبر,   حي التحلية ,شمال شرقي,625,0,7,5,2,0,1,1,1,0,0,0,0,1,0,0,1,0,0,90000,Unkown,house
46, جدة,   حي الروضة ,جنوب غربي,250,10,4,4,2,1,0,0,0,0,1,1,0,1,0,1,1,0,0,100000,Unkown,house
47, الدمام,   حي المدينة الصناعية الثانية ,جنوب,355,0,7,5,2,1,1,0,1,0,1,1,0,1,0,1,1,0,0,65000,Unkown,Unkown
48, الرياض,   حي السليمانية ,شمال غربي,312,20,5,4,2,1,1,1,1,0,1,0,0,1,0,1,0,0,0,65000,Unkown,Unkown
49, جدة,   حي المنتزه ,شرق,680,9,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90000,Unkown,house
50, الرياض,   حي الرمال ,شمال,206,2,4,4,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0,60000,Unkown,house
51, الخبر,   حي التحلية ,شمال شرقي,625,0,7,5,2,0,1,1,1,0,0,0,0,1,0,0,1,0,0,90000,Unkown,house
52, الرياض,   حي الملك فيصل ,شرق,450,5,5,5,2,1,1,1,1,0,1,1,0,1,0,0,1,0,0,60000,Unkown,Unkown
53, الخبر,   حي الصواري ,شمال,312,0,5,5,3,0,0,0,0,0,0,1,0,1,0,1,1,0,0,45000,Unkown,house
54, جدة,   حي ابحر الشمالية ,جنوب غربي,600,5,4,5,3,1,1,0,1,0,1,1,1,0,1,0,1,0,0,180000,Unkown,house
55, الدمام,   حي الأمل ,غرب,187,0,4,5,2,0,1,1,1,0,1,0,0,1,0,1,0,0,0,35000,Unkown,house
56, الخبر,   حي الراكة الجنوبية ,شمال,200,4,6,5,2,1,1,0,1,0,1,0,1,1,0,1,1,0,0,85000,Unkown,house
57, الخبر,   حي التحلية ,جنوب,300,0,5,5,3,1,1,0,1,0,0,0,0,1,0,1,0,0,0,75000,Unkown,house
58, جدة,   حي الزهراء ,جنوب,400,7,5,5,3,1,1,1,1,0,1,1,1,1,1,1,1,0,0,160000,Unkown,house
59, الرياض,   حي الرمال ,شمال,300,0,5,5,2,1,1,0,1,0,0,1,0,1,0,1,0,0,0,40000,Unkown,house
60, الدمام,   حي الفرسان ,غرب,350,5,4,4,2,1,1,1,1,0,0,0,0,1,0,1,1,0,0,30000,Unkown,house
61, الرياض,   حي الياسمين ,شرق,375,3,5,5,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,95000,Unkown,house
62, جدة,   حي الزهراء ,شمال,300,4,3,5,3,1,1,0,1,1,1,1,1,1,1,0,1,1,1,150000,Unkown,house
63, الخبر,   حي اللؤلؤ ,غرب,437,0,7,5,2,1,1,0,1,0,0,1,0,1,0,1,1,0,1,60000,Unkown,house
64, جدة,   حي السلامة ,شمال,275,8,5,5,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,70000,Unkown,house
65, جدة,   حي المحمدية ,شرق,375,9,5,5,2,1,0,1,1,0,0,1,1,1,0,0,1,0,0,100000,Unkown,house
66, جدة,   حي المحمدية ,شمال,250,8,4,3,2,1,1,1,1,0,1,1,0,1,0,0,1,0,0,130000,Unkown,house
67, الرياض,   حي الرمال ,شمال شرقي,202,0,4,4,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,40000,Unkown,house
68, الدمام,   حي الشاطئ الغربي ,شمال,380,0,5,4,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,60000,Unkown,floor
69, الدمام,   حي المنار ,شمال,350,0,7,5,3,1,1,1,1,0,0,0,0,1,0,0,1,0,0,100000,Unkown,house
70, الرياض,   حي الروضة ,شرق,900,20,5,5,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,120000,Unkown,house
71, جدة,   حي الصالحية ,غرب,300,0,5,5,3,1,0,1,0,0,0,1,1,1,0,0,0,0,0,60000,Unkown,house
72, الرياض,   حي النزهة ,شمال,300,0,7,5,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,125000,Unkown,house
73, الرياض,   حي ظهرة لبن ,شمال,300,0,4,5,2,1,1,0,0,0,0,0,1,1,0,1,1,0,1,60000,Unkown,house
74, الرياض,   حي العارض ,شرق,325,7,5,5,4,1,1,0,1,0,1,1,0,1,0,0,1,0,0,90000,Unkown,house
75, الدمام,   حي الاثير ,شرق,205,0,3,2,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,60000,Unkown,house
76, الدمام,   حي ضاحية الملك فهد ,شمال,250,5,5,5,3,1,1,0,1,0,1,1,0,1,0,0,1,0,0,36000,Unkown,house
77, الخبر,   حي الصواري ,شرق,450,0,5,5,2,1,1,0,1,0,1,0,0,0,0,1,1,0,0,80000,Unkown,house
78, الخبر,   حي الصواري ,شمال,312,0,5,5,3,0,0,0,0,0,0,1,0,1,0,1,1,0,0,45000,Unkown,house
79, الرياض,   حي الهدا ,شرق,227,0,5,5,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,55000,Unkown,Unkown
80, جدة,   حي الزهراء ,جنوب شرقي,600,10,5,5,2,1,1,1,1,0,1,1,1,1,0,0,0,0,0,160000,Unkown,house
81, الرياض,   حي بدر ,جنوب,360,16,7,5,2,1,1,0,1,0,0,0,0,1,0,1,0,0,0,35000,Unkown,floor
82, الخبر,   حي العليا ,شمال,325,14,4,5,2,1,0,1,1,0,1,0,0,1,0,1,1,0,0,65000,Unkown,house
83, الرياض,   حي العارض ,شمال,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000,Unkown,house
84, الرياض,   حي الرمال ,غرب,375,0,5,5,2,1,1,0,1,0,0,1,0,1,0,0,1,0,0,45000,Monthly,house
85, الخبر,   حي البحيرة ,غرب,375,0,4,4,2,1,1,0,0,0,1,0,1,1,0,1,1,0,0,80000,Unkown,house
86, الخبر,   حي الحزام الاخضر ,جنوب,400,4,4,5,2,1,1,1,1,0,1,1,0,0,0,1,1,0,0,140000,Unkown,floor
87, الخبر,   حي التحلية ,شمال شرقي,625,0,7,5,2,0,1,1,1,0,0,0,0,1,0,0,1,0,0,90000,Unkown,house
88, الدمام,   حي ضاحية الملك فهد ,شمال,250,5,5,5,3,1,1,0,1,0,1,1,0,1,0,0,1,0,0,36000,Unkown,house
89, الدمام,   حي الشاطئ الغربي ,شمال,380,0,5,4,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,60000,Unkown,floor
90, الرياض,   حي السليمانية ,شرق,420,17,6,5,3,1,1,1,1,0,0,1,0,1,0,0,1,1,1,150000,Unkown,apartment
91, الخبر,   حي مدينة العمال ,جنوب شرقي,348,30,5,5,3,1,0,0,1,0,0,0,0,1,0,0,1,0,0,65000,Unkown,house
92, الدمام,   حي ضاحية الملك فهد ,شرق,250,0,5,5,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,35000,Unkown,house
93, جدة,   حي طيبة ,شمال,325,2,5,5,5,1,1,1,1,1,1,1,1,1,0,0,1,1,0,120000,Unkown,Unkown
94, الدمام,   حي ضاحية الملك فهد ,شمال,250,0,5,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37000,Unkown,house
95, الدمام,   حي الشعلة ,جنوب,300,3,4,5,4,1,1,1,1,0,1,0,0,0,0,0,1,1,0,70000,Unkown,house
96, الخبر,   حي الكورنيش ,جنوب,300,13,6,5,2,1,1,1,1,0,1,0,0,1,0,1,1,0,0,90000,Unkown,house
97, الخبر,   حي اللؤلؤ ,غرب,437,0,7,5,2,1,1,0,1,0,0,1,0,1,0,1,1,0,1,60000,Unkown,house
98, الرياض,   حي الفيحاء ,شرق,600,14,5,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,85000,Unkown,house
99, الدمام,   حي السيف ,غرب,300,11,6,5,2,1,1,1,1,0,1,1,0,1,0,1,1,0,0,75000,Unkown,house
100, الدمام,   حي الاثير ,شرق,205,0,3,2,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,60000,Unkown,house
101, جدة,   حي الخالدية ,غرب,450,6,7,5,5,1,1,1,1,0,1,1,1,1,0,0,1,0,0,120000,Unkown,house
102, جدة,   حي البساتين ,جنوب,350,10,4,4,2,0,1,1,1,0,1,1,0,1,0,1,0,0,0,90000,Unkown,house
103, الرياض,   حي بدر ,شرق,250,4,3,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,16000,Unkown,Unkown
104, الرياض,   حي الملقا ,جنوب,200,3,5,4,2,1,1,0,1,0,1,0,0,1,0,0,1,0,0,90000,Unkown,house
105, الدمام,   حي الريان ,جنوب,400,14,5,5,2,1,1,1,1,0,1,1,0,1,0,1,1,0,0,70000,Unkown,house
106, الخبر,   حي التحلية ,جنوب,300,0,5,5,3,1,1,0,1,0,0,0,0,1,0,1,0,0,0,75000,Unkown,house
107, الدمام,   حي المنار ,جنوب,200,0,7,5,2,1,1,0,1,1,1,1,0,1,0,1,1,0,0,60000,Monthly,house
108, الدمام,   حي المنار ,شمال,350,0,7,5,3,1,1,1,1,0,0,0,0,1,0,0,1,0,0,100000,Unkown,house
109, الدمام,   حي ضاحية الملك فهد ,شمال,250,0,5,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37000,Unkown,house
110, جدة,   حي المحمدية ,شمال,250,8,4,3,2,1,1,1,1,0,1,1,0,1,0,0,1,0,0,130000,Unkown,house
111, الرياض,   حي بدر ,جنوب,360,16,7,5,2,1,1,0,1,0,0,0,0,1,0,1,0,0,0,35000,Unkown,house
112, الخبر,   حي اللؤلؤ ,غرب,437,0,7,5,2,1,1,0,1,0,0,1,0,1,0,1,1,0,1,60000,Unkown,house
113, الدمام,   حي الفرسان ,غرب,350,5,4,4,2,1,1,1,1,0,0,0,0,1,0,1,1,0,0,30000,Unkown,house
114, جدة,   حي الروضة ,شمال شرقي,220,10,4,3,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,45000,Unkown,apartment
115, الخبر,   حي الكورنيش ,جنوب,300,13,6,5,2,1,1,1,1,0,1,0,0,1,0,1,1,0,0,90000,Unkown,house
116, الخبر,   حي اللؤلؤ ,غرب,437,0,7,5,2,1,1,0,1,0,0,1,0,1,0,1,1,0,1,60000,Unkown,house
117, الرياض,   حي الندى ,شمال,260,9,5,5,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,120000,Unkown,house
118, جدة,   حي المحمدية ,غرب,350,0,7,2,5,1,1,1,1,0,1,1,0,1,0,1,1,0,0,100000,Unkown,house
119, الرياض,   حي الحزم ,شرق,298,0,5,5,3,1,1,0,1,0,0,1,0,1,0,1,1,0,0,50000,Unkown,house
120, الرياض,   حي عرقة ,شرق,240,14,5,5,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,40000,Unkown,Unkown
121, الخبر,   حي المدينة الرياضية ,جنوب غربي,200,7,5,4,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,43000,Unkown,apartment
122, الرياض,   حي الجنادرية ,جنوب,276,0,2,4,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,27000,Unkown,floor
123, الخبر,   حي الصواري ,شرق,450,0,5,5,2,1,1,0,1,0,1,0,0,0,0,1,1,0,0,80000,Unkown,house
124, الخبر,   حي اللؤلؤ ,غرب,330,0,6,4,2,1,0,0,0,0,0,1,0,1,0,1,0,0,1,37000,Unkown,floor
125, الخبر,   حي التحلية ,شمال شرقي,625,0,7,5,2,0,1,1,1,0,0,0,0,1,0,0,1,0,0,90000,Unkown,house
126, جدة,   حي البساتين ,شرق,650,20,7,5,2,1,1,1,1,0,1,1,0,0,0,0,1,0,0,120000,Unkown,house
127, الخبر,   حي التحلية ,شمال شرقي,625,0,7,5,2,0,1,1,1,0,0,0,0,1,0,0,1,0,0,90000,Unkown,house
128, الخبر,   حي التحلية ,شمال شرقي,625,0,7,5,2,0,1,1,1,0,0,0,0,1,0,0,1,0,0,90000,Unkown,house
129, جدة,   حي المحمدية ,غرب,300,9,4,5,2,1,1,1,1,0,1,1,0,1,0,1,1,0,0,75000,Unkown,house
130, جدة,   حي الروضة ,شرق,100,0,2,3,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,62000,Unkown,Unkown
131, الخبر,   حي اللؤلؤ ,غرب,300,0,6,4,2,1,1,0,0,0,0,1,0,1,0,1,0,0,1,37000,Unkown,house
132, الخبر,   حي الامواج ,غرب,437,0,7,5,2,0,1,0,1,0,0,1,0,1,0,1,1,0,1,60000,Unkown,house
133, الخبر,   حي الحزام الاخضر ,جنوب شرقي,574,30,4,4,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,180000,Unkown,house
134, جدة,   حي الزمرد ,غرب,300,0,5,4,2,1,0,0,1,1,1,0,1,1,0,0,1,0,0,220000,Unkown,house
135, جدة,   حي بريمان ,جنوب,350,0,7,5,2,1,1,0,1,0,0,1,0,0,0,1,1,1,0,45000,Unkown,house
136, الرياض,   حي النفل ,جنوب,250,8,5,5,2,1,1,1,1,0,1,0,1,1,0,0,1,0,0,100000,Unkown,house
137, الخبر,   حي الكورنيش ,جنوب,300,13,6,5,2,1,1,1,1,0,1,0,0,1,0,1,1,0,0,90000,Unkown,house
138, الرياض,   حي العارض ,شمال,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000,Unkown,house
139, جدة,   حي الشاطئ ,شمال شرقي,300,2,3,4,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,150000,Monthly,house
140, الرياض,   حي العارض ,شمال,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000,Unkown,house
141, جدة,   حي المحمدية ,شرق,375,9,5,5,2,1,0,1,1,0,0,1,1,1,0,0,1,0,0,100000,Unkown,house
142, الخبر,   حي العليا ,شمال,325,14,4,5,2,1,0,1,1,0,1,0,0,1,0,1,1,0,0,65000,Unkown,house
143, الخبر,   حي الحزام الاخضر ,جنوب,400,4,4,5,2,1,1,1,1,0,1,1,0,0,0,1,1,0,0,140000,Unkown,floor
144, الدمام,   حي المنار ,شمال,350,0,7,5,3,1,1,1,1,0,0,0,0,1,0,0,1,0,0,100000,Unkown,house
145, الرياض,   حي المونسية ,شرق,313,2,4,5,2,1,1,1,1,1,1,1,0,1,0,0,1,0,0,70000,Unkown,house
146, الخبر,   حي الكورنيش ,جنوب,300,13,6,5,2,1,1,1,1,0,1,0,0,1,0,1,1,0,0,90000,Unkown,house
147, الدمام,   حي الشعلة ,جنوب,300,3,4,5,4,1,1,1,1,0,1,0,0,0,0,0,1,1,0,70000,Unkown,house
148, جدة,   حي النعيم ,جنوب,560,0,5,5,3,1,1,1,1,0,1,1,0,1,0,0,1,1,0,180000,Unkown,house
149, الدمام,   حي النورس ,غرب,125,5,3,5,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,35000,Unkown,house
150, الخبر,   حي الكورنيش ,جنوب,300,13,6,5,2,1,1,1,1,0,1,0,0,1,0,1,1,0,0,90000,Unkown,house
151, جدة,   حي الياقوت ,شرق,400,2,5,5,4,1,1,1,0,0,1,1,1,1,0,1,1,0,0,65000,Unkown,house
152, جدة,   حي الياقوت ,غرب,250,0,5,5,3,1,1,1,1,0,1,1,0,1,0,1,1,1,0,80000,Unkown,house
153, جدة,   حي طيبة ,شرق,312,0,5,5,3,1,1,1,1,0,0,1,0,1,0,0,1,0,0,70000,Unkown,house
154, الدمام,   حي ضاحية الملك فهد ,شمال,250,5,5,5,3,1,1,0,1,0,1,1,0,1,0,0,1,0,0,36000,Unkown,house
155, جدة,   حي الشاطئ ,شرق,350,4,5,5,3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,250000,Unkown,house
156, الخبر,   حي الكورنيش ,جنوب,350,10,5,5,5,1,1,1,1,0,1,0,0,1,0,1,1,0,0,150000,Unkown,house
157, الرياض,   حي المنصورة ,شمال,500,7,5,3,2,1,0,1,1,0,0,1,0,1,0,0,0,0,1,70000,Unkown,Unkown
158, الخبر,   حي العليا ,شمال,325,14,4,5,2,1,0,1,1,0,1,0,0,1,0,1,1,0,0,65000,Unkown,house
159, الدمام,   حي بدر ,غرب,230,0,5,5,2,1,1,0,1,0,0,1,0,1,0,1,1,0,0,33000,Unkown,house
160, الدمام,   حي المدينة الصناعية الثانية ,جنوب,355,0,7,5,2,1,1,0,1,0,1,1,0,1,0,1,1,0,0,65000,Unkown,Unkown
161, جدة,   حي الرحمانية ,غرب,300,0,7,5,3,1,1,1,0,0,0,1,1,1,0,1,1,0,0,70000,Unkown,Unkown
162, جدة,   حي الزمرد ,شمال,999,0,3,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,13200,Unkown,floor
163, الدمام,   حي طيبة ,شمال غربي,450,4,7,5,2,1,1,0,1,0,0,1,0,1,0,0,1,0,1,55000,Unkown,floor
164, الخبر,   حي التحلية ,شمال شرقي,625,0,7,5,2,0,1,1,1,0,0,0,0,1,0,0,1,0,0,90000,Unkown,house
165, الدمام,   حي الشعلة ,جنوب,300,3,4,5,4,1,1,1,1,0,1,0,0,0,0,0,1,1,0,70000,Unkown,house
166, جدة,   حي الزمرد ,جنوب,500,3,4,3,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,24000,Unkown,Unkown
167, الخبر,   حي المدينة الرياضية ,جنوب غربي,200,7,5,4,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,43000,Unkown,apartment
168, الرياض,   حي الياسمين ,شرق,350,0,5,5,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,95000,Unkown,house
169, الخبر,   حي الامواج ,غرب,437,0,4,5,2,1,1,0,1,0,0,1,0,1,0,1,0,0,1,70000,Unkown,house
170, الدمام,   حي الخالدية الشمالية ,شرق,400,5,7,5,2,1,1,1,1,0,1,1,0,1,0,0,1,0,1,70000,Unkown,house
171, الخبر,   حي اللؤلؤ ,غرب,330,0,6,4,2,1,0,0,0,0,0,1,0,1,0,1,0,0,1,37000,Unkown,floor
172, الرياض,   حي القادسية ,جنوب,372,0,7,5,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,60000,Unkown,house
173, الخبر,   حي الصواري ,جنوب,400,0,5,5,3,0,1,0,1,0,1,1,0,1,0,1,1,0,0,55000,Unkown,house
174, الخبر,   حي الحزام الاخضر ,جنوب,400,4,4,5,2,1,1,1,1,0,1,1,0,0,0,1,1,0,0,140000,Unkown,floor
175, الرياض,   حي النموذجية ,شمال شرقي,900,4,5,5,5,1,1,1,1,0,0,1,1,1,0,0,1,0,0,300000,Unkown,house
176, جدة,   حي الخالدية ,3 شوارع,2700,10,7,5,5,1,1,1,1,1,1,1,0,1,0,0,1,1,0,450000,Unkown,house
177, الخبر,   حي الصواري ,جنوب,400,0,5,5,3,0,1,0,1,0,1,1,0,1,0,1,1,0,0,55000,Unkown,house
178, جدة,   حي المحمدية ,غرب,350,6,5,5,3,1,1,1,1,0,1,1,1,1,0,1,1,0,0,140000,Unkown,house
179, الدمام,   حي المنار ,جنوب,200,0,7,5,2,1,1,0,1,1,1,1,0,1,0,1,1,0,0,60000,Monthly,house
180, جدة,   حي الروضة ,شرق,110,0,2,3,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,65000,Unkown,Unkown
181, الرياض,   حي الخزامى ,شمال,330,10,4,5,3,1,1,1,1,0,1,0,0,1,0,0,1,0,0,120000,Unkown,house
182, الخبر,   حي التحلية ,شرق,330,0,4,5,4,1,1,1,1,0,1,1,0,1,0,0,0,0,0,80000,Unkown,house
183, الرياض,   حي العريجاء ,شرق,312,15,5,5,2,1,1,0,1,0,1,1,0,1,0,0,0,0,0,60000,Unkown,house
184, الدمام,   حي الحمراء ,شرق,600,9,7,5,2,1,1,1,1,1,1,1,0,1,0,0,1,1,1,85000,Unkown,house
185, جدة,   حي طيبة ,شمال,600,3,5,5,3,1,1,1,0,0,0,0,0,1,0,0,1,0,0,38000,Unkown,house
186, جدة,   حي الزمرد ,غرب,300,0,5,4,2,1,0,0,1,1,1,0,1,1,0,0,1,0,0,220000,Unkown,house
187, الخبر,   حي الامواج ,غرب,437,0,7,5,2,0,1,0,1,0,0,1,0,1,0,1,1,0,1,60000,Unkown,house
188, جدة,   حي النعيم ,جنوب,450,2,5,5,5,1,1,1,1,0,1,1,0,1,1,0,1,1,0,175000,Unkown,house
189, الرياض,   حي طويق ,غرب,360,0,5,5,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,45000,Monthly,house
190, الدمام,   حي الشعلة ,شرق,375,4,5,5,2,1,1,1,1,0,1,1,0,1,0,1,1,0,0,80000,Unkown,house
191, الدمام,   حي الفرسان ,غرب,350,5,4,4,2,1,1,1,1,0,0,0,0,1,0,1,1,0,0,30000,Unkown,house
192, الرياض,   حي الخليج ,جنوب,1000,18,6,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,Unkown,floor
193, جدة,   حي الياقوت ,غرب,250,0,5,5,3,1,1,1,1,0,1,1,0,1,0,1,1,1,0,80000,Unkown,house
194, الرياض,   حي القادسية ,جنوب,360,0,4,5,2,1,1,0,1,0,0,1,0,1,0,0,1,1,0,55000,Unkown,house
195, الدمام,   حي ضاحية الملك فهد ,شمال,250,5,5,5,3,1,1,0,1,0,1,1,0,1,0,0,1,0,0,36000,Unkown,house
196, جدة,   حي ابحر الشمالية ,شمال,300,0,5,5,3,1,1,1,1,0,0,1,1,1,0,1,1,0,0,65000,Unkown,house
